ID,SKU,Type,Product Title,Description,Main Category,Sub-Category,Sub-Category,  Price  ,Unit,Images,Visibility in Catalog
F50,F2055,simple,"10"" Flour Tortillas 12 X 12 ct (144)","10"" Flour Tortillas 12 X 12 ct (144)",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$110.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2055.jpg,visible
F50,F2054,simple,"8"" Flour Tortillas 12 X 12 ct  (144)","8"" Flour Tortillas 12 X 12 ct  (144)",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$85.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2054.jpg,visible
F50,F2050,simple,"6""Blue Corn Tortillas 6 x 120 ct","6""Blue Corn Tortillas 6 x 120 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$120.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2050.jpg,visible
H05,F2046,simple,Cottage Cheese 6 x 1 lb,Cottage Cheese 6 x 1 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$59.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2046.webp,visible
H05,F2044,simple,Shredded Parmesan Cheese,Shredded Parmesan Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$32.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2044.jpg,visible
H05,F2043,simple,Manchego Cheese (Wheel),Manchego Cheese (Wheel),Fromagerie,Cheeses,Fromagerie>Cheeses,$49.70,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2043.jpg,visible
H05,F2041,simple,Mild Cheddar Cheese,Mild Cheddar Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$30.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2041.png,visible
F35,F204,simple,Duck Legs,Duck Legs,Freezer,Poultry,Freezer>Poultry,$65.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F204.jpg,visible
H05,F2036,simple,Yellow Sharp Cheddar Cheese,Yellow Sharp Cheddar Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$30.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2036.jpg,visible
H05,F2034,simple,Mozarella Sticks,Mozarella Sticks,Fromagerie,Cheeses,Fromagerie>Cheeses,$34.00,kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2034.jpg,visible
H05,F2032,simple,Swiss Gruyere Cheese,Swiss Gruyere Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$70.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2032.jpg,visible
F35,F203,simple,Geese,Geese,Freezer,Poultry,Freezer>Poultry,$96.00,Kgs.,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F203.jpg,visible
H05,F2026,simple,Roquefort (Wheels),Roquefort (Wheels),Fromagerie,Cheeses,Fromagerie>Cheeses,$89.00,kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2026.jpg,visible
H05,F2025,simple,White Shredded Cheddar,White Shredded Cheddar,Fromagerie,Cheeses,Fromagerie>Cheeses,$27.00,kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2025.jpg,visible
F65,F2022,simple,Avocado Pulp 6 x 2 lbs,Avocado Pulp 6 x 2 lbs,Freezer,Frozen/ Chilled Fruit and Vegetables,Freezer>Frozen/ Chilled Fruit and Vegetables,$185.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2022.jpg,visible
H05,F2021,simple,Monterey Jack (Bulk),Monterey Jack (Bulk),Fromagerie,Cheeses,Fromagerie>Cheeses,$26.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2021.jpg,visible
H05,F2020,simple,Mozarella Cheese,Mozarella Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$22.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2020.jpg,visible
F35,F202,simple,Duck Breast,Duck Breast,Freezer,Poultry,Freezer>Poultry,$115.00,Kgs.,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F202.jpg,visible
